pid,dc_title,dc_creator,bib_published
o:2107725,Sebastian Tengnagel to Johann Georg Herwart von Hohenburg. 1611-09-01,Chiara Petrolini,
o:2107726,Sebastian Tengnagel to Christoph Gewold. 1611-09-01,Chiara Petrolini,
o:2107724,Jacob Gretser to Georg Sturn. 1608-09-04,Chiara Petrolini,
o:2107729,Sebastian Tengnagel to Jacob Gretser. [1611-09-01],Chiara Petrolini,
o:2107731,Sebastian Tengnagel to [Henry Savile]. s.d.,Chiara Petrolini,
o:2107730,Sebastian Tengnagel to Cornelis van der Myle. s.d.,Chiara Petrolini,
o:2107733,Pongrác Sennyey to Zsigmond Sarmasághy. 1612-07-06,Chiara Petrolini,
o:2107728,Sebastian Tengnagel to Jacob Gretser. 1611-08-17,Chiara Petrolini,
o:2107732,Pongrác Sennyey to Zsigmond Sarmasághy. 1612-06-22,Chiara Petrolini,
o:2107727,Sebastian Tengnagel to Georg Sturn. 1611-08-17,Chiara Petrolini,
o:2107737,Sebastian Tengnagel to Jan Gruter. 1608-08-14,Chiara Petrolini,
o:2107739,Sebastian Tengnagel to David Hoeschel. s.d.,Chiara Petrolini,
o:2107738,Sebastian Tengnagel to Bonaventura Vulcanius. 1608-08-23,Chiara Petrolini,
o:2107740,Sebastian Tengnagel to Marcus Welser. 1608-11-22,Chiara Petrolini,
o:2107735,[Philipp II] to s.n.. 1613-01-09,Chiara Petrolini,
o:2107734,Pierre Coton to s.n.. 1612-10-29,Chiara Petrolini,
o:2107736,Sebastian Tengnagel to s.n.. 1611-08-27,Chiara Petrolini,
o:2107741,Sebastian Tengnagel to [Samuel Slade]. s.d.,Chiara Petrolini,
o:2107742,Sebastian Tengnagel to [Frans Gansneb Tengnagel]. 1611-03-22,Chiara Petrolini,
o:2107745,Sebastian Tengnagel to Johann Georg Herwart von Hohenburg. 1609-04-08,Chiara Petrolini,
o:2107746,Jan Gruter to Sebastian Tengnagel. 1611-04-05,Chiara Petrolini,
o:2107743,Sebastian Tengnagel to Jan Gruter. 1609-02-18,Chiara Petrolini,
o:2107744,Sebastian Tengnagel to s.n.. s.d.,Chiara Petrolini,
o:2107753,Sebastian Tengnagel to Daniel Heinsius. 1612-08-30,Chiara Petrolini,
o:2107748,Sebastian Tengnagel to Matthias. 1611-12-27,Chiara Petrolini,
o:2107751,Sebastian Tengnagel to Johann Prigglmayer. 1612,Chiara Petrolini,
o:2107747,Sebastian Tengnagel to Petrus Kirstenius. 1611-08-01,Chiara Petrolini,
o:2107749,Sebastian Tengnagel to Johann Georg Herwart von Hohenburg. 1612-02-17,Chiara Petrolini,
o:2107752,Sebastian Tengnagel to Matthias. s.d.,Chiara Petrolini,
o:2107750,Sebastian Tengnagel to Christoph Gewold. 1612-02-17,Chiara Petrolini,
o:2107754,Sebastian Tengnagel to [Victor Scialac]. 1613-01-08,Chiara Petrolini,
o:2107755,Sebastian Tengnagel to [Christoph Gewold]. 1614-12-14,Chiara Petrolini,
o:2107756,Sebastian Tengnagel to s.n.. 1615-12-14,Chiara Petrolini,
o:2107757,Sebastian Tengnagel to s.n.. 1615-12-14,Chiara Petrolini,
o:2107759,Sebastian Tengnagel to Hans Ludwig von Ulm. 1617-06-24,Chiara Petrolini,
o:2107758,Sebastian Tengnagel to Hans Ludwig von Ulm. 1617-04-01,Chiara Petrolini,
