ids,label,phaidra
['https://www.wikidata.org/wiki/Q15434132'],"Fuhrmann, Georg Leopold",https://pid.phaidra.org/vocabulary/ZZNJ-VE4D
"['https://isni.org/isni/0000000108890296', 'https://viaf.org/viaf/37733377/', 'https://data.cerl.org/thesaurus/cnp00402339', 'https://www.wikidata.org/wiki/Q462274']","Mexía, Pedro",https://pid.phaidra.org/vocabulary/WTWX-0J31
[],Denck,https://pid.phaidra.org/vocabulary/DFYT-9BJU
"['https://data.cerl.org/thesaurus/cnp00251869', 'https://www.wikidata.org/wiki/Q63536', 'https://viaf.org/viaf/24980796/']",Frederick Ulrich,https://pid.phaidra.org/vocabulary/W47E-PSTQ
[],"Groß, Henning",https://pid.phaidra.org/vocabulary/1VBR-6BY0
[],"Deurin, Nicolaus",https://pid.phaidra.org/vocabulary/V1PS-Y3G1
"['https://data.cerl.org/thesaurus/cnp01348415', 'https://viaf.org/viaf/5039977/', 'https://www.wikidata.org/wiki/Q775194']","Ferrari, Giovanni Battista",https://pid.phaidra.org/vocabulary/BQ6X-VR9C
"['http://viaf.org/viaf/44320954', 'https://www.wikidata.org/wiki/Q545024', 'https://data.cerl.org/thesaurus/cnp01323357']","Della Valle, Pietro",https://pid.phaidra.org/vocabulary/N3GD-48WP
['https://www.wikidata.org/wiki/Q6533412'],Ibn al-Hâjib,https://pid.phaidra.org/vocabulary/H0CA-CSTF
"['https://www.wikidata.org/wiki/Q464162', 'https://data.cerl.org/thesaurus/cnp01319702', 'https://isni.oclc.org/xslt/DB=1.2/CMD?ACT=SRCH&IKT=8006&TRM=ISN%3A0000%200000%208117%201784', 'https://viaf.org/viaf/37711457/']",Mathilde of Tuscany,https://pid.phaidra.org/vocabulary/DNJ8-KBR9
[],P. Carl,https://pid.phaidra.org/vocabulary/32DZ-083Z
[],Horatius Fornus,https://pid.phaidra.org/vocabulary/33KB-2F5W
"['https://data.cerl.org/thesaurus/cnp02144964', 'https://www.wikidata.org/wiki/Q62160', 'https://viaf.org/viaf/2848784/']",Adolphus,https://pid.phaidra.org/vocabulary/SAD9-2CNC
['https://thbw.hadw-bw.de/ansicht/person/5d7a2884bbbbe1161e97d0d7'],"Zierotin, Johann Dionys von",https://pid.phaidra.org/vocabulary/9DK5-79V0
"['https://viaf.org/viaf/40310246/', 'https://www.wikidata.org/wiki/Q15457679', 'https://d-nb.info/gnd/124373437', 'https://data.cerl.org/thesaurus/cnp00988624']","Binius, Severin",https://pid.phaidra.org/vocabulary/J233-3SG2
"['https://www.wikidata.org/wiki/Q721501', 'https://data.cerl.org/thesaurus/cnp01101329', 'https://viaf.org/viaf/100204205/']","Pagnini, Sante",https://pid.phaidra.org/vocabulary/2673-HZ3C
['https://www.bbkl.de/index.php/frontend/lexicon/V/Vi/villerius-bartholomaeus-72624'],"Villerius, Bartholomäus",https://pid.phaidra.org/vocabulary/KEZ5-YAPJ
[],"Marescalchi, Geronimo",https://pid.phaidra.org/vocabulary/3R2E-R4WX
"['https://www.wikidata.org/wiki/Q8462', 'https://data.cerl.org/thesaurus/cnp00986151', 'https://viaf.org/viaf/63984707/']",Timur,https://pid.phaidra.org/vocabulary/GPRY-XR24
"['https://www.wikidata.org/wiki/Q1809511', 'https://data.cerl.org/thesaurus/cnp01147402', 'https://viaf.org/viaf/80365092/']","Henckel von Donnersmarck, Lazarus",https://pid.phaidra.org/vocabulary/F67C-X8XT
[],Lower-Austrian Government,https://pid.phaidra.org/vocabulary/MGB8-6VF7
[],Hubacius,https://pid.phaidra.org/vocabulary/BV28-9VHK
[],"Darimplius, Jacobus",https://pid.phaidra.org/vocabulary/YYRD-WNE3
"['https://data.cerl.org/thesaurus/cnp01507500', 'https://www.wikidata.org/wiki/Q436002', 'https://viaf.org/viaf/56620173/']","Casaubon, Isaac",https://pid.phaidra.org/vocabulary/TJEB-Q7V4
[],"Gaag, Conradus",https://pid.phaidra.org/vocabulary/B2T5-VYZS
"['https://www.wikidata.org/wiki/Q362491', 'https://data.cerl.org/thesaurus/cnp01337275', 'https://viaf.org/viaf/74207825/']",Ermoldus Nigellus,https://pid.phaidra.org/vocabulary/15Y5-58YU
"['https://www.wikidata.org/wiki/Q3173555', 'https://viaf.org/viaf/100906238/', 'https://data.cerl.org/thesaurus/cnp00113483']","Mocquet, Jean",https://pid.phaidra.org/vocabulary/J9T2-74XQ
"['https://www.wikidata.org/wiki/Q548115', 'https://data.cerl.org/thesaurus/cnp01875171']","Possevino, Antonio",https://pid.phaidra.org/vocabulary/CYWP-D816
"['https://viaf.org/viaf/232647305/', 'https://www.wikidata.org/wiki/Q15411499', 'https://www.treccani.it/enciclopedia/raniero-sacconi']","Sacconi, Raniero",https://pid.phaidra.org/vocabulary/7BEZ-Y3CU
"['https://viaf.org/viaf/79398695/', 'https://www.wikidata.org/wiki/Q140188', 'https://data.cerl.org/thesaurus/cnp00979569']",Aristarchus of Samo,https://pid.phaidra.org/vocabulary/ND3Q-ZAME
['https://www.wikidata.org/wiki/Q10261'],Pythagoras,https://pid.phaidra.org/vocabulary/8QJX-Q5MB
['https://www.wikidata.org/wiki/Q9458'],Muḥammad,https://pid.phaidra.org/vocabulary/H32Y-SAZJ
